Valor Objetivo Final = 86.99999999965114
dia,demanda,dias_vence,inventario,comprados
10,11,14,0,22
10,11,15,0,22
10,11,16,0,22
10,11,17,0,22
10,11,18,0,22
10,11,19,0,22
10,11,20,0,22
10,11,21,0,22
10,11,22,0,22
10,11,23,0,22
10,11,24,0,22
10,11,25,0,22
10,11,26,0,22
10,11,27,0,22
10,11,28,0,22
11,10,1,0,0
11,10,2,0,0
11,10,3,12,0
11,10,4,0,0
11,10,5,0,0
11,10,6,0,0
11,10,7,0,0
11,10,8,0,0
11,10,9,0,0
11,10,10,0,0
11,10,11,0,0
11,10,12,0,0
11,10,13,0,0
11,10,14,0,0
11,10,15,0,0
11,10,16,0,0
11,10,17,0,0
11,10,18,0,0
11,10,19,0,0
11,10,20,0,0
11,10,21,0,0
11,10,22,0,0
11,10,23,0,0
11,10,24,0,0
11,10,25,0,0
11,10,26,0,0
11,10,27,0,0
11,10,28,0,0
12,10,1,0,0
12,10,2,2,0
12,10,3,0,0
12,10,4,0,0
12,10,5,0,0
12,10,6,0,0
12,10,7,0,0
12,10,8,0,0
12,10,9,0,0
12,10,10,0,0
12,10,11,0,0
12,10,12,0,0
12,10,13,0,0
12,10,14,0,0
12,10,15,0,0
12,10,16,0,0
12,10,17,0,0
12,10,18,0,0
12,10,19,0,0
12,10,20,0,0
12,10,21,0,0
12,10,22,0,0
12,10,23,0,0
12,10,24,0,0
12,10,25,0,0
12,10,26,0,0
12,10,27,0,0
12,10,28,0,0
13,9,1,0,35
13,9,2,0,35
13,9,3,0,35
13,9,4,28,35
13,9,5,0,35
13,9,6,0,35
13,9,7,0,35
13,9,8,0,35
13,9,9,0,35
13,9,10,0,35
13,9,11,0,35
13,9,12,0,35
13,9,13,0,35
13,9,14,0,35
13,9,15,0,35
13,9,16,0,35
13,9,17,0,35
13,9,18,0,35
13,9,19,0,35
13,9,20,0,35
13,9,21,0,35
13,9,22,0,35
13,9,23,0,35
13,9,24,0,35
13,9,25,0,35
13,9,26,0,35
13,9,27,0,35
13,9,28,0,35
14,8,1,0,0
14,8,2,0,0
14,8,3,20,0
14,8,4,0,0
14,8,5,0,0
14,8,6,0,0
14,8,7,0,0
14,8,8,0,0
14,8,9,0,0
14,8,10,0,0
14,8,11,0,0
14,8,12,0,0
14,8,13,0,0
14,8,14,0,0
14,8,15,0,0
14,8,16,0,0
14,8,17,0,0
14,8,18,0,0
14,8,19,0,0
14,8,20,0,0
14,8,21,0,0
14,8,22,0,0
14,8,23,0,0
14,8,24,0,0
14,8,25,0,0
14,8,26,0,0
14,8,27,0,0
14,8,28,0,0
15,9,1,0,0
15,9,2,11,0
15,9,3,0,0
15,9,4,0,0
15,9,5,0,0
15,9,6,0,0
15,9,7,0,0
15,9,8,0,0
15,9,9,0,0
15,9,10,0,0
15,9,11,0,0
15,9,12,0,0
15,9,13,0,0
15,9,14,0,0
15,9,15,0,0
15,9,16,0,0
15,9,17,0,0
15,9,18,0,0
15,9,19,0,0
15,9,20,0,0
15,9,21,0,0
15,9,22,0,0
15,9,23,0,0
15,9,24,0,0
15,9,25,0,0
15,9,26,0,0
15,9,27,0,0
15,9,28,0,0
16,11,1,0,0
16,11,2,0,0
16,11,3,0,0
16,11,4,0,0
16,11,5,0,0
16,11,6,0,0
16,11,7,0,0
16,11,8,0,0
16,11,9,0,0
16,11,10,0,0
16,11,11,0,0
16,11,12,0,0
16,11,13,0,0
16,11,14,0,0
16,11,15,0,0
16,11,16,0,0
16,11,17,0,0
16,11,18,0,0
16,11,19,0,0
16,11,20,0,0
16,11,21,0,0
16,11,22,0,0
16,11,23,0,0
16,11,24,0,0
16,11,25,0,0
16,11,26,0,0
16,11,27,0,0
16,11,28,0,0
17,8,1,0,22
17,8,2,0,22
17,8,3,0,22
17,8,4,14,22
17,8,5,0,22
17,8,6,0,22
17,8,7,0,22
17,8,8,0,22
17,8,9,0,22
17,8,10,0,22
17,8,11,0,22
17,8,12,0,22
17,8,13,0,22
17,8,14,0,22
17,8,15,0,22
17,8,16,0,22
17,8,17,0,22
17,8,18,0,22
17,8,19,0,22
17,8,20,0,22
17,8,21,0,22
17,8,22,0,22
17,8,23,0,22
17,8,24,0,22
17,8,25,0,22
17,8,26,0,22
17,8,27,0,22
17,8,28,0,22
18,8,1,0,0
18,8,2,0,0
18,8,3,6,0
18,8,4,0,0
18,8,5,0,0
18,8,6,0,0
18,8,7,0,0
18,8,8,0,0
18,8,9,0,0
18,8,10,0,0
18,8,11,0,0
18,8,12,0,0
18,8,13,0,0
18,8,14,0,0
18,8,15,0,0
18,8,16,0,0
18,8,17,0,0
18,8,18,0,0
18,8,19,0,0
18,8,20,0,0
18,8,21,0,0
18,8,22,0,0
18,8,23,0,0
18,8,24,0,0
18,8,25,0,0
18,8,26,0,0
18,8,27,0,0
18,8,28,0,0
19,10,1,0,31
19,10,2,6,31
19,10,3,0,31
19,10,4,21,31
19,10,5,0,31
19,10,6,0,31
19,10,7,0,31
19,10,8,0,31
19,10,9,0,31
19,10,10,0,31
19,10,11,0,31
19,10,12,0,31
19,10,13,0,31
19,10,14,0,31
19,10,15,0,31
19,10,16,0,31
19,10,17,0,31
19,10,18,0,31
19,10,19,0,31
19,10,20,0,31
19,10,21,0,31
19,10,22,0,31
19,10,23,0,31
19,10,24,0,31
19,10,25,0,31
19,10,26,0,31
19,10,27,0,31
19,10,28,0,31
20,10,1,0,0
20,10,2,0,0
20,10,3,17,0
20,10,4,0,0
20,10,5,0,0
20,10,6,0,0
20,10,7,0,0
20,10,8,0,0
20,10,9,0,0
20,10,10,0,0
20,10,11,0,0
20,10,12,0,0
20,10,13,0,0
20,10,14,0,0
20,10,15,0,0
20,10,16,0,0
20,10,17,0,0
20,10,18,0,0
20,10,19,0,0
20,10,20,0,0
20,10,21,0,0
20,10,22,0,0
20,10,23,0,0
20,10,24,0,0
20,10,25,0,0
20,10,26,0,0
20,10,27,0,0
20,10,28,0,0
21,6,1,0,0
21,6,2,11,0
21,6,3,0,0
21,6,4,0,0
21,6,5,0,0
21,6,6,0,0
21,6,7,0,0
21,6,8,0,0
21,6,9,0,0
21,6,10,0,0
21,6,11,0,0
21,6,12,0,0
21,6,13,0,0
21,6,14,0,0
21,6,15,0,0
21,6,16,0,0
21,6,17,0,0
21,6,18,0,0
21,6,19,0,0
21,6,20,0,0
21,6,21,0,0
21,6,22,0,0
21,6,23,0,0
21,6,24,0,0
21,6,25,0,0
21,6,26,0,0
21,6,27,0,0
21,6,28,0,0
22,11,1,0,0
22,11,2,0,0
22,11,3,0,0
22,11,4,0,0
22,11,5,0,0
22,11,6,0,0
22,11,7,0,0
22,11,8,0,0
22,11,9,0,0
22,11,10,0,0
22,11,11,0,0
22,11,12,0,0
22,11,13,0,0
22,11,14,0,0
22,11,15,0,0
22,11,16,0,0
22,11,17,0,0
22,11,18,0,0
22,11,19,0,0
22,11,20,0,0
22,11,21,0,0
22,11,22,0,0
22,11,23,0,0
22,11,24,0,0
22,11,25,0,0
22,11,26,0,0
22,11,27,0,0
22,11,28,0,0
23,9,1,0,30
23,9,2,0,30
23,9,3,0,30
23,9,4,21,30
23,9,5,0,30
23,9,6,0,30
23,9,7,0,30
23,9,8,0,30
23,9,9,0,30
23,9,10,0,30
23,9,11,0,30
23,9,12,0,30
23,9,13,0,30
23,9,14,0,30
23,9,15,0,30
23,9,16,0,30
23,9,17,0,30
23,9,18,0,30
23,9,19,0,30
23,9,20,0,30
23,9,21,0,30
23,9,22,0,30
23,9,23,0,30
23,9,24,0,30
23,9,25,0,30
23,9,26,0,30
23,9,27,0,30
23,9,28,0,30
24,9,1,0,0
24,9,2,0,0
24,9,3,12,0
24,9,4,0,0
24,9,5,0,0
24,9,6,0,0
24,9,7,0,0
24,9,8,0,0
24,9,9,0,0
24,9,10,0,0
24,9,11,0,0
24,9,12,0,0
24,9,13,0,0
24,9,14,0,0
24,9,15,0,0
24,9,16,0,0
24,9,17,0,0
24,9,18,0,0
24,9,19,0,0
24,9,20,0,0
24,9,21,0,0
24,9,22,0,0
24,9,23,0,0
24,9,24,0,0
24,9,25,0,0
24,9,26,0,0
24,9,27,0,0
24,9,28,0,0
25,6,1,0,0
25,6,2,6,0
25,6,3,0,0
25,6,4,0,0
25,6,5,0,0
25,6,6,0,0
25,6,7,0,0
25,6,8,0,0
25,6,9,0,0
25,6,10,0,0
25,6,11,0,0
25,6,12,0,0
25,6,13,0,0
25,6,14,0,0
25,6,15,0,0
25,6,16,0,0
25,6,17,0,0
25,6,18,0,0
25,6,19,0,0
25,6,20,0,0
25,6,21,0,0
25,6,22,0,0
25,6,23,0,0
25,6,24,0,0
25,6,25,0,0
25,6,26,0,0
25,6,27,0,0
25,6,28,0,0
26,6,1,0,0
26,6,2,0,0
26,6,3,0,0
26,6,4,0,0
26,6,5,0,0
26,6,6,0,0
26,6,7,0,0
26,6,8,0,0
26,6,9,0,0
26,6,10,0,0
26,6,11,0,0
26,6,12,0,0
26,6,13,0,0
26,6,14,0,0
26,6,15,0,0
26,6,16,0,0
26,6,17,0,0
26,6,18,0,0
26,6,19,0,0
26,6,20,0,0
26,6,21,0,0
26,6,22,0,0
26,6,23,0,0
26,6,24,0,0
26,6,25,0,0
26,6,26,0,0
26,6,27,0,0
26,6,28,0,0
27,10,1,0,22
27,10,2,0,22
27,10,3,0,22
27,10,4,12,22
27,10,5,0,22
27,10,6,0,22
27,10,7,0,22
27,10,8,0,22
27,10,9,0,22
27,10,10,0,22
27,10,11,0,22
27,10,12,0,22
27,10,13,0,22
27,10,14,0,22
27,10,15,0,22
27,10,16,0,22
27,10,17,0,22
27,10,18,0,22
27,10,19,0,22
27,10,20,0,22
27,10,21,0,22
27,10,22,0,22
27,10,23,0,22
27,10,24,0,22
27,10,25,0,22
27,10,26,0,22
27,10,27,0,22
27,10,28,0,22
28,6,1,0,0
28,6,2,0,0
28,6,3,6,0
28,6,4,0,0
28,6,5,0,0
28,6,6,0,0
28,6,7,0,0
28,6,8,0,0
28,6,9,0,0
28,6,10,0,0
28,6,11,0,0
28,6,12,0,0
28,6,13,0,0
28,6,14,0,0
28,6,15,0,0
28,6,16,0,0
28,6,17,0,0
28,6,18,0,0
28,6,19,0,0
28,6,20,0,0
28,6,21,0,0
28,6,22,0,0
28,6,23,0,0
28,6,24,0,0
28,6,25,0,0
28,6,26,0,0
28,6,27,0,0
28,6,28,0,0
